year,state,population,State,Abbrev,Code
1969,AK,294290,Alaska,Alaska,AK
1969,AL,3411611,Alabama,Ala.,AL
1969,AR,1893768,Arkansas,Ark.,AR
1969,AZ,1702945,Arizona,Ariz.,AZ
1969,CA,19745905,California,Calif.,CA
1969,CO,2153153,Colorado,Colo.,CO
1969,CT,3014615,Connecticut,Conn.,CT
1969,DC,760291,District of Columbia,D.C.,DC
1969,DE,537811,Delaware,Del.,DE
1969,FL,6567950,Florida,Fla.,FL
1969,GA,4513265,Georgia,Ga.,GA
1969,HI,751103,Hawaii,Hawaii,HI
1969,IA,2809783,Iowa,Iowa,IA
1969,ID,697487,Idaho,Idaho,ID
1969,IL,11052819,Illinois,Ill.,IL
1969,IN,5162578,Indiana,Ind.,IN
1969,KS,2250328,Kansas,Kans.,KS
1969,KY,3173740,Kentucky,Ky.,KY
1969,LA,3604367,Louisiana,La.,LA
1969,MA,5659435,Massachusetts,Mass.,MA
1969,MD,3864521,Maryland,Md.,MD
1969,ME,980609,Maine,Maine,ME
1969,MI,8827833,Michigan,Mich.,MI
1969,MN,3778923,Minnesota,Minn.,MN
1969,MO,4650329,Missouri,Mo.,MO
1969,MS,2187159,Mississippi,Miss.,MS
1969,MT,684222,Montana,Mont.,MT
1969,NC,5013668,North Carolina,N.C.,NC
1969,ND,612454,North Dakota,N.D.,ND
1969,NE,1473784,Nebraska,Nebr.,NE
1969,NH,722955,New Hampshire,N.H.,NH
1969,NJ,7104428,New Jersey,N.J.,NJ
1969,NM,995273,New Mexico,N.M.,NM
1969,NV,469977,Nevada,Nev.,NV
1969,NY,18167105,New York,N.Y.,NY
1969,OH,10610728,Ohio,Ohio,OH
1969,OK,2523771,Oklahoma,Okla.,OK
1969,OR,2056379,Oregon,Ore.,OR
1969,PA,11750369,Pennsylvania,Pa.,PA
1969,RI,941122,Rhode Island,R.I.,RI
1969,SC,2547708,South Carolina,S.C.,SC
1969,SD,663081,South Dakota,S.D.,SD
1969,TN,3874872,Tennessee,Tenn.,TN
1969,TX,11010547,Texas,Tex.,TX
1969,UT,1034450,Utah,Utah,UT
1969,VA,4589746,Virginia,Va.,VA
1969,VT,438948,Vermont,Vt.,VT
1969,WA,3392905,Washington,Wash.,WA
1969,WI,4392904,Wisconsin,Wis.,WI
1969,WV,1728411,West Virginia,W.Va.,WV
1969,WY,327809,Wyoming,Wyo.,WY
1970,AK,305328,Alaska,Alaska,AK
1970,AL,3454557,Alabama,Ala.,AL
1970,AR,1932816,Arkansas,Ark.,AR
1970,AZ,1799531,Arizona,Ariz.,AZ
1970,CA,20045806,California,Calif.,CA
1970,CO,2228340,Colorado,Colo.,CO
1970,CT,3038035,Connecticut,Conn.,CT
1970,DC,755466,District of Columbia,D.C.,DC
1970,DE,551509,Delaware,Del.,DE
1970,FL,6865460,Florida,Fla.,FL
1970,GA,4611479,Georgia,Ga.,GA
1970,HI,776177,Hawaii,Hawaii,HI
1970,IA,2830777,Iowa,Iowa,IA
1970,ID,718147,Idaho,Idaho,ID
1970,IL,11129316,Illinois,Ill.,IL
1970,IN,5206262,Indiana,Ind.,IN
1970,KS,2248359,Kansas,Kans.,KS
1970,KY,3236121,Kentucky,Ky.,KY
1970,LA,3657391,Louisiana,La.,LA
1970,MA,5699034,Massachusetts,Mass.,MA
1970,MD,3943493,Maryland,Md.,MD
1970,ME,998135,Maine,Maine,ME
1970,MI,8899844,Michigan,Mich.,MI
1970,MN,3815381,Minnesota,Minn.,MN
1970,MO,4686588,Missouri,Mo.,MO
1970,MS,2226138,Mississippi,Miss.,MS
1970,MT,697665,Montana,Mont.,MT
1970,NC,5107138,North Carolina,N.C.,NC
1970,ND,619616,North Dakota,N.D.,ND
1970,NE,1489064,Nebraska,Nebr.,NE
1970,NH,742566,New Hampshire,N.H.,NH
1970,NJ,7193210,New Jersey,N.J.,NJ
1970,NM,1024290,New Mexico,N.M.,NM
1970,NV,494996,Nevada,Nev.,NV
1970,NY,18266034,New York,N.Y.,NY
1970,OH,10672784,Ohio,Ohio,OH
1970,OK,2570926,Oklahoma,Okla.,OK
1970,OR,2103151,Oregon,Ore.,OR
1970,PA,11817397,Pennsylvania,Pa.,PA
1970,RI,952555,Rhode Island,R.I.,RI
1970,SC,2604662,South Carolina,S.C.,SC
1970,SD,667299,South Dakota,S.D.,SD
1970,TN,3942583,Tennessee,Tenn.,TN
1970,TX,11260221,Texas,Tex.,TX
1970,UT,1067600,Utah,Utah,UT
1970,VA,4671101,Virginia,Va.,VA
1970,VT,446649,Vermont,Vt.,VT
1970,WA,3419974,Washington,Wash.,WA
1970,WI,4426419,Wisconsin,Wis.,WI
1970,WV,1749347,West Virginia,W.Va.,WV
1970,WY,333928,Wyoming,Wyo.,WY
1971,AK,316366,Alaska,Alaska,AK
1971,AL,3497349,Alabama,Ala.,AL
1971,AR,1971940,Arkansas,Ark.,AR
1971,AZ,1896117,Arizona,Ariz.,AZ
1971,CA,20345724,California,Calif.,CA
1971,CO,2303608,Colorado,Colo.,CO
1971,CT,3061455,Connecticut,Conn.,CT
1971,DC,750641,District of Columbia,D.C.,DC
1971,DE,565207,Delaware,Del.,DE
1971,FL,7162971,Florida,Fla.,FL
1971,GA,4709721,Georgia,Ga.,GA
1971,HI,801251,Hawaii,Hawaii,HI
1971,IA,2851875,Iowa,Iowa,IA
1971,ID,738856,Idaho,Idaho,ID
1971,IL,11205953,Illinois,Ill.,IL
1971,IN,5250028,Indiana,Ind.,IN
1971,KS,2246461,Kansas,Kans.,KS
1971,KY,3298565,Kentucky,Ky.,KY
1971,LA,3710415,Louisiana,La.,LA
1971,MA,5738634,Massachusetts,Mass.,MA
1971,MD,4022470,Maryland,Md.,MD
1971,ME,1015679,Maine,Maine,ME
1971,MI,8971957,Michigan,Mich.,MI
1971,MN,3851972,Minnesota,Minn.,MN
1971,MO,4722984,Missouri,Mo.,MO
1971,MS,2265118,Mississippi,Miss.,MS
1971,MT,711153,Montana,Mont.,MT
1971,NC,5200624,North Carolina,N.C.,NC
1971,ND,626814,North Dakota,N.D.,ND
1971,NE,1504425,Nebraska,Nebr.,NE
1971,NH,762190,New Hampshire,N.H.,NH
1971,NJ,7281992,New Jersey,N.J.,NJ
1971,NM,1053333,New Mexico,N.M.,NM
1971,NV,520027,Nevada,Nev.,NV
1971,NY,18364991,New York,N.Y.,NY
1971,OH,10734897,Ohio,Ohio,OH
1971,OK,2618115,Oklahoma,Okla.,OK
1971,OR,2149942,Oregon,Ore.,OR
1971,PA,11884462,Pennsylvania,Pa.,PA
1971,RI,963988,Rhode Island,R.I.,RI
1971,SC,2661616,South Carolina,S.C.,SC
1971,SD,671564,South Dakota,S.D.,SD
1971,TN,4010338,Tennessee,Tenn.,TN
1971,TX,11510036,Texas,Tex.,TX
1971,UT,1100798,Utah,Utah,UT
1971,VA,4752480,Virginia,Va.,VA
1971,VT,454378,Vermont,Vt.,VT
1971,WA,3447070,Washington,Wash.,WA
1971,WI,4460012,Wisconsin,Wis.,WI
1971,WV,1770346,West Virginia,W.Va.,WV
1971,WY,340058,Wyoming,Wyo.,WY
1972,AK,326431,Alaska,Alaska,AK
1972,AL,3540003,Alabama,Ala.,AL
